caseid,vote_intention_w1,vote_2020,news_interest,education,gender,race,hispanic,birthyr,party_id,ideology,voter_reg,weight,ai_skill_distinguish_devices,ai_skill_identify_tech,ai_skill_use_for_work,ai_skill_improve_efficiency,ai_skill_choose_solution,ai_skill_choose_app,ai_attitude_effective,ai_attitude_useful,ai_attitude_informative,ai_attitude_interesting,ai_attitude_important,ai_attitude_meaningful,ai_attitude_powerful,gpt4_knowledge,llm_knowledge,image_gen_knowledge,speech_rec_knowledge,ai_usage_freq,ai_detect_self,ai_detect_others,misinfo_percent,false_news_self,false_news_others,false_news_democrats,false_news_republicans,verification_major_outlets,verification_friends_family,verification_search_engine,verification_social_media,verification_other_sources,verification_fact_check,digital_term_adv_search,digital_term_pdf,digital_term_spyware,digital_term_wiki,digital_term_cache,digital_term_phishing,vote_intention_w2,age,age_18_29,age_30_44,age_45_64,age_65_plus,democrat,republican,trump_supporter,harris_supporter,political_interest,college,female,non_white,ideo5_very_liberal,ideo5_liberal,ideo5_moderate,ideo5_conservative,ideo5_very_conservative,ideo5_not_sure,registered_voter,gpt4_correct,llm_correct,image_gen_correct,speech_rec_correct,ai_knowledge_score,digital_term_knowledge_score,misinfo_third_person_gap,ai_detection_gap,misinfo_belief_score,ai_attitude_score,verification_outlets_regular,verification_friends_regular,verification_search_regular,verification_social_regular,verification_other_regular,verification_factcheck_regular,verification_behavior_score,ai_skill_score,ai_usage,ai_detection_self,ai_detection_others,misinfo_prevalence,false_news_gap,total_visits,untrustworthy_n_old,untrustworthy_flag_old,untrustworthy_n,untrustworthy_flag,ai_untrustworthy_n_old,ai_untrustworthy_flag_old,ai_untrustworthy_n,ai_untrustworthy_flag,hard_news_n,hard_news_flag,avg_ideology,facebook_n,twitter_n,youtube_n,google_n,fact_check_n,total_duration,untrustworthy_duration,ai_untrustworthy_duration,facebook_duration,twitter_duration,youtube_duration,google_duration,hard_news_duration,fact_check_duration,percentage_visits_untrustworthy,percentage_visits_ai_untrustworthy,percentage_time_untrustworthy,percentage_time_ai_untrustworthy,percentage_time_facebook,percentage_time_twitter,percentage_time_youtube,percentage_time_google,percentage_time_hard_news,percentage_time_fact_check,facebook_bin,twitter_bin,google_bin,hard_news_bin,total_visits_bin,facebook_flag,twitter_flag,youtube_flag,google_flag,fact_check_flag,fact_check_bin,ideology_bin,total_visits_7day,untrustworthy_n_7day,untrustworthy_flag_7day,ai_untrustworthy_n_7day,ai_untrustworthy_flag_7day,percentage_visits_untrustworthy_7day,percentage_visits_ai_untrustworthy_7day,total_accuracy,ai_accuracy,real_accuracy,dem_accuracy,rep_accuracy,discernment_score,untrustworthy_flag_pre,untrustworthy_flag_post,untrustworthy_n_pre,untrustworthy_n_post
1880730902,2,1,1,4,1,1,2,2000,1,2,1,2.34183854826284,7,6,4,4,5,5,4,5,5,5,5,4,6,4,1,3,2,5,4,1,9,1,10,5,20,5,3,5,2,5,5,5,5,5,5,5,5,1,24,1,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,1,1,1,3,5,9,3,6.666666666666667,4.857142857142857,1,0,1,0,1,1,4,5.166666666666667,5,4,1,9,9,1590,0,0,0,0,0,0,0,0,15,1,-0.25388571428571427,8,117,72,177,0,14790,0,0,150,1614,1154,1700,33,0,0,0,0,0,0.010141987829614604,0.10912778904665314,0.07802569303583502,0.11494252873563218,0.002231237322515213,0,2,3,2,1,2,1,1,1,1,0,1,3,171,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1885140878,2,6,3,2,1,1,2,1997,2,2,1,0.345673949090455,5,3,2,2,3,2,4,5,5,5,3,4,5,4,3,1,4,1,2,3,27,3,7,3,9,2,4,4,4,5,4,3,5,5,5,5,5,9,27,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.666666666666667,4,-1,12.333333333333334,4.428571428571429,0,1,1,1,1,1,5,2.8333333333333335,1,2,3,27,4,1270,0,0,0,0,0,0,0,0,19,1,-0.4447,7,9,1,472,0,41960,0,0,118,18,11,10488,58,0,0,0,0,0,0.0028122020972354625,4.289799809342231e-4,2.621544327931363e-4,0.249952335557674,0.0013822688274547188,0,2,3,3,2,2,1,1,1,1,0,1,1,137,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1885178226,1,2,3,3,2,1,2,1972,6,3,1,0.860398569207211,5,2,1,1,1,1,4,4,4,2,3,3,5,5,1,3,2,1,2,1,50,10,10,10,10,3,3,3,3,3,1,2,3,2,2,2,2,2,52,0,0,1,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,1,1,1,3,2.1666666666666665,0,1,23.333333333333332,3.5714285714285716,0,0,0,0,0,0,0,1.8333333333333333,1,2,1,50,0,20178,0,0,0,0,0,0,0,0,556,1,-0.13461,6391,0,5,603,0,917105,0,0,383330,0,506,27753,344,0,0,0,0,0,0.41797831218889875,0,5.517361697951707e-4,0.030261529486809036,3.750933644457287e-4,0,3,1,3,3,3,1,0,1,1,0,1,6,5054,0,0,0,0,0,0,0.5,1,0,0.5,0.5,-1,0,0,0,0
1884242266,2,6,2,3,2,1,2,1991,4,2,1,0.536326504277383,7,4,4,4,5,5,6,7,6,7,6,5,7,4,4,3,2,3,4,1,89,1,15,10,20,2,2,2,3,3,3,5,5,4,5,5,5,NA,33,0,1,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,1,0,0,1,1,2,4.833333333333333,14,3,35,6.285714285714286,0,0,0,0,0,0,0,4.833333333333333,3,4,1,89,14,22272,0,0,0,0,0,0,0,0,100,1,-0.2817163265306123,0,0,0,0,0,162301,0,0,994,7,60,12557,399,0,0,0,0,0,0.006124423139721875,4.312974042057658e-5,3.6968348931922787e-4,0.07736859292302574,0.0024583952039728654,0,1,1,1,2,3,0,0,0,0,0,1,2,3028,0,0,0,0,0,0,0.75,1,0.5,0.5,1,-0.5,0,0,0,0
1884258810,2,2,1,3,1,1,2,1947,4,3,1,0.45940103227995,4,3,1,1,4,3,4,4,4,3,3,4,3,5,3,4,2,1,2,2,20,1,2,1,3,4,3,5,1,1,3,5,5,4,3,4,4,1,77,0,0,0,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,4.166666666666667,1,0,7.666666666666667,3.5714285714285716,1,0,1,0,0,0,2,2.6666666666666665,1,2,2,20,1,12577,0,0,0,0,0,0,0,0,697,1,-0.07902878120411161,430,0,78,605,0,135553,0,0,2099,0,546,4569,3178,0,0,0,0,0,0.015484718154522585,0,0.004027944789123074,0.03370637315293649,0.02344470428540866,0,3,1,3,3,3,1,0,1,1,0,1,8,3862,0,0,0,0,0,0,0.75,0.5,1,1,0.5,0.5,0,0,0,0
1885211380,1,2,1,3,2,1,2,1963,6,3,1,0.919555323464071,6,4,3,3,4,3,4,5,4,5,6,6,6,4,3,3,2,1,4,2,11,2,20,10,10,4,2,3,1,3,3,4,4,3,4,4,5,NA,61,0,0,1,0,0,1,1,0,4,0,1,0,0,0,1,0,0,0,1,0,0,1,1,2,4,18,2,11,5.142857142857143,1,0,0,0,0,0,1,3.8333333333333335,1,4,2,11,18,5517,0,0,0,0,0,0,0,0,733,1,0.2498593380614657,751,0,58,1205,24,193765,0,0,25788,0,2015,37635,17500,476,0,0,0,0,0.13308905117023198,0,0.01039919490103992,0.194230124119423,0.09031558847057002,0.0024565840063995046,3,1,3,3,3,1,0,1,1,1,3,10,1092,0,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0,0,0,0
1882055202,8,6,4,2,2,1,2,1970,4,5,2,0.703780084351018,6,4,4,3,4,4,4,3,3,3,4,4,3,4,1,3,2,1,3,3,30,0,25,0,0,1,1,1,1,1,1,3,3,4,2,3,3,9,54,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,3,25,0,18.333333333333332,3.4285714285714284,0,0,0,0,0,0,0,4.166666666666667,1,3,3,30,25,4223,0,0,0,0,0,0,0,0,17,1,NA,41,0,3,821,0,243504,0,0,1150,0,36,4164,0,0,0,0,0,0,0.004722715027268546,0,1.4784151389710232e-4,0.0171003351074315,0,0,3,1,3,2,2,1,0,1,1,0,1,NA,871,0,0,0,0,0,0,0.25,0.5,0,0,0.5,-0.5,0,0,0,0
1883971088,1,2,1,2,1,1,2,1955,7,4,1,1.46768146109065,1,1,1,1,1,1,3,3,3,1,4,3,6,5,3,1,2,1,1,1,30,0,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,69,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,10.333333333333334,3.2857142857142856,0,0,0,0,0,0,0,1,1,1,1,30,1,33088,0,0,0,0,0,0,0,0,28,1,-0.2145,10,0,1,69,0,320123,0,0,252,0,34,1724,5,0,0,0,0,0,7.871974209913065e-4,0,1.0620917584803341e-4,0.005385429975353223,1.5618996448240206e-5,0,2,1,2,2,3,1,0,1,1,0,1,4,10330,0,0,0,0,0,0,0.75,1,0.5,1,0.5,-0.5,0,0,0,0
1885064136,2,6,1,2,1,2,2,2004,1,1,1,0.414963176736507,7,7,6,6,7,6,6,6,7,5,5,6,6,1,1,3,2,6,5,5,25,2,5,0,10,5,5,5,5,3,4,5,5,5,5,5,5,1,20,1,0,0,0,1,0,0,1,4,0,0,1,1,0,0,0,0,0,1,1,1,1,1,4,5,3,0,10.666666666666666,5.857142857142857,1,1,1,1,0,1,5,6.5,6,5,5,25,3,250,0,0,0,0,0,0,0,0,4,1,-0.3654,0,0,0,95,0,8179,0,0,0,0,0,2384,156,0,0,0,0,0,0,0,0,0.29147817581611446,0.01907323633696051,0,1,1,2,1,1,0,0,0,1,0,1,1,45,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1885185632,1,6,1,3,2,1,2,1973,7,3,1,0.873001606678716,4,4,4,7,6,6,7,7,7,7,7,6,6,4,4,1,2,3,2,1,70,23,4,7,1,3,5,4,5,2,4,5,3,4,1,5,3,2,51,0,0,1,0,0,1,1,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,3.5,-19,1,32.333333333333336,6.714285714285714,0,1,1,1,0,1,4,5.166666666666667,3,2,1,70,-19,1707,0,0,0,0,0,0,0,0,10,1,0.05396666666666667,0,0,0,0,0,80500,0,0,2684,41,0,97,14,0,0,0,0,0,0.033341614906832295,5.093167701863354e-4,0,0.0012049689440993788,1.7391304347826088e-4,0,1,1,1,1,2,0,0,0,0,0,1,9,388,0,0,0,0,0,0,0.5,0.5,0.5,0,1,0,0,0,0,0
1884203870,1,2,2,4,2,1,2,1965,4,3,1,0.649307462317881,7,7,7,7,7,7,4,4,4,5,4,4,5,1,1,3,2,1,4,2,25,15,50,60,20,1,1,1,5,5,1,5,5,5,3,5,5,2,59,0,0,1,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,1,1,1,1,1,4,4.666666666666667,35,2,30,4.285714285714286,0,0,0,1,1,0,2,7,1,4,2,25,35,93,0,0,0,0,0,0,0,0,1,1,-0.5469,0,0,0,4,0,3726,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0.005636070853462158,0.008588298443370907,0,1,1,1,1,1,0,0,0,1,0,1,1,8,0,0,0,0,0,0,0.75,1,0.5,1,0.5,-0.5,0,0,0,0
1885166222,8,6,7,3,1,4,2,1981,4,3,3,0.633324295763651,7,7,7,7,7,7,1,1,1,1,1,1,1,2,1,3,2,1,3,3,100,100,100,100,100,5,5,5,5,5,5,5,5,5,5,5,5,9,43,0,1,0,0,0,0,0,0,NA,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3,5,0,0,100,1,1,1,1,1,1,1,6,7,1,3,3,100,0,144,0,0,0,0,0,0,0,0,6,1,-0.2829,0,3,2,34,0,8233,0,0,0,2,0,1005,286,0,0,0,0,0,0,2.4292481476982875e-4,0,0.12206971942183895,0.03473824851208551,0,1,3,2,1,1,0,1,1,1,0,1,2,23,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1884027976,1,2,2,2,2,1,2,1986,7,3,1,0.889020707241449,7,7,7,7,7,7,7,7,7,7,5,6,6,5,1,3,3,3,3,3,50,3,2,2,0,5,5,5,5,5,4,5,5,5,5,5,5,2,38,0,1,0,0,0,1,1,0,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,2,5,-1,0,18.333333333333332,6.428571428571429,1,1,1,1,1,1,6,7,3,3,3,50,-1,231,0,0,0,0,0,0,0,0,9,1,-0.3526,0,0,1,66,0,7477,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0.003076100040123044,9.362043600374481e-4,0,1,1,2,1,1,0,0,1,1,0,1,1,70,0,0,0,0,0,0,0.75,0.5,1,0.5,1,0.5,0,0,0,0
1885062086,8,6,4,2,2,1,2,1987,8,6,2,2.38190319997116,6,4,1,1,2,1,1,3,1,2,2,2,6,5,4,3,1,1,3,3,1,0,100,10,10,3,2,3,2,3,3,4,4,3,4,3,3,9,37,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,3.5,100,0,33.666666666666664,2.4285714285714284,0,0,0,0,0,0,0,2.5,1,3,3,1,100,783,0,0,0,0,0,0,0,0,18,1,-0.12055714285714285,3,7,4,21,0,38442,0,0,24,7,8,143,0,0,0,0,0,0,6.243171531137818e-4,1.8209250299151968e-4,2.0810571770459393e-4,0.0037198897039696166,0,0,2,3,2,2,1,1,1,1,1,0,1,6,166,0,0,0,0,0,0,0.75,1,0.5,1,0.5,-0.5,0,0,0,0
1885252326,1,2,1,5,1,1,2,1974,6,4,1,1.07855932185903,4,4,5,6,3,4,5,4,5,4,5,4,5,4,1,3,2,3,4,3,81,2,4,2,4,3,4,2,4,4,2,4,4,3,4,4,4,2,50,0,0,1,0,0,1,1,0,4,1,0,0,0,0,0,1,0,0,1,0,1,1,1,3,3.8333333333333335,2,1,29,4.571428571428571,0,1,0,1,1,0,3,4.333333333333333,3,4,3,81,2,20321,0,0,0,0,0,0,0,0,649,1,-0.3024497899159663,0,0,0,0,0,700867,0,0,2671,1,912,4587,23180,0,0,0,0,0,0.0038109940973109022,1.4268042296184584e-6,0.001301245457412034,0.006544751001259868,0.033073322042555864,0,1,1,1,3,3,0,0,0,0,0,1,2,5556,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1885252376,1,2,2,6,2,1,2,1967,6,4,1,0.748226523726498,6,5,5,4,5,5,5,6,6,5,5,5,7,4,4,2,2,2,2,2,41,0,20,20,20,3,4,4,3,3,3,4,4,4,4,2,4,2,57,0,0,1,0,0,1,1,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,3.6666666666666665,20,0,20.333333333333332,5.571428571428571,0,1,1,0,0,0,2,5,2,2,2,41,20,3598,0,0,0,0,0,0,0,0,1,1,-0.084,7,0,2,24,0,26402,0,0,560,0,141,958,51,0,0,0,0,0,0.02121051435497311,0,0.005340504507234301,0.03628512991440042,0.0019316718430421938,0,2,1,2,1,2,1,0,1,1,0,1,7,870,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
1885252368,2,6,4,2,2,2,2,1980,2,3,2,0.32743999455514,6,5,7,6,6,5,6,7,7,6,5,4,6,5,3,3,4,1,2,2,32,2,32,46,46,1,3,3,1,1,1,4,5,4,3,2,2,9,44,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,3.3333333333333335,30,0,22,5.857142857142857,0,0,0,0,0,0,0,5.833333333333333,1,2,2,32,30,1189,0,0,0,0,0,0,0,0,7,1,NA,0,0,0,69,0,45987,0,0,0,0,0,694,0,0,0,0,0,0,0,0,0,0.015091221432143866,0,0,1,1,2,1,2,0,0,0,1,0,1,NA,501,0,0,0,0,0,0,0.75,1,0.5,0.5,1,-0.5,0,0,0,0
1885211388,1,2,1,4,1,1,2,1960,4,3,1,0.699511763663665,4,3,2,3,2,2,4,4,4,4,4,4,4,5,4,3,2,1,1,1,30,30,50,50,50,4,3,5,4,3,3,3,3,2,1,1,2,2,64,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,2,20,0,36.666666666666664,4,1,0,1,1,0,0,3,2.6666666666666665,1,1,1,30,20,21994,0,0,0,0,0,0,0,0,977,1,0.23376811846689874,1303,0,217,3775,0,406909,0,0,33986,0,3532,68523,10326,0,0,0,0,0,0.08352236003627346,0,0.008680073431651794,0.1683988311883001,0.025376681272716996,0,3,1,3,3,3,1,0,1,1,0,1,10,4320,0,0,0,0,0,0,0.25,0,0.5,0.5,0,0.5,0,0,0,0
